2010-12-31 00:00:00,2010-12-31 00:00:00,2011-01-31 00:00:00,2011-01-31 00:00:00,2011-02-28 00:00:00,2011-02-28 00:00:00,2011-03-31 00:00:00,2011-03-31 00:00:00,2011-04-29 00:00:00,2011-04-29 00:00:00,2011-05-31 00:00:00,2011-05-31 00:00:00,2011-06-30 00:00:00,2011-06-30 00:00:00,2011-07-29 00:00:00,2011-07-29 00:00:00,2011-08-31 00:00:00,2011-08-31 00:00:00,2011-09-30 00:00:00,2011-09-30 00:00:00,2011-10-31 00:00:00,2011-10-31 00:00:00,2011-11-30 00:00:00,2011-11-30 00:00:00,2011-12-30 00:00:00,2011-12-30 00:00:00,2012-01-31 00:00:00,2012-01-31 00:00:00,2012-02-29 00:00:00,2012-02-29 00:00:00,2012-03-30 00:00:00,2012-03-30 00:00:00,2012-04-27 00:00:00,2012-04-27 00:00:00,2012-05-31 00:00:00,2012-05-31 00:00:00,2012-06-29 00:00:00,2012-06-29 00:00:00,2012-07-31 00:00:00,2012-07-31 00:00:00,2012-08-31 00:00:00,2012-08-31 00:00:00,2012-09-28 00:00:00,2012-09-28 00:00:00,2012-10-31 00:00:00,2012-10-31 00:00:00,2012-11-30 00:00:00,2012-11-30 00:00:00,2012-12-31 00:00:00,2012-12-31 00:00:00,2013-01-31 00:00:00,2013-01-31 00:00:00,2013-02-28 00:00:00,2013-02-28 00:00:00,2013-03-29 00:00:00,2013-03-29 00:00:00,2013-04-26 00:00:00,2013-04-26 00:00:00,2013-05-31 00:00:00,2013-05-31 00:00:00,2013-06-28 00:00:00,2013-06-28 00:00:00,2013-07-31 00:00:00,2013-07-31 00:00:00,2013-08-30 00:00:00,2013-08-30 00:00:00,2013-09-30 00:00:00,2013-09-30 00:00:00,2013-10-31 00:00:00,2013-10-31 00:00:00,2013-11-29 00:00:00,2013-11-29 00:00:00,2013-12-31 00:00:00,2013-12-31 00:00:00,2014-01-30 00:00:00,2014-01-30 00:00:00,2014-02-28 00:00:00,2014-02-28 00:00:00,2014-03-31 00:00:00,2014-03-31 00:00:00,2014-04-30 00:00:00,2014-04-30 00:00:00,2014-05-30 00:00:00,2014-05-30 00:00:00,2014-06-30 00:00:00,2014-06-30 00:00:00,2014-07-31 00:00:00,2014-07-31 00:00:00,2014-08-29 00:00:00,2014-08-29 00:00:00,2014-09-30 00:00:00,2014-09-30 00:00:00,2014-10-31 00:00:00,2014-10-31 00:00:00,2014-11-28 00:00:00,2014-11-28 00:00:00,2014-12-31 00:00:00,2014-12-31 00:00:00,2015-01-30 00:00:00,2015-01-30 00:00:00,2015-02-27 00:00:00,2015-02-27 00:00:00,2015-03-31 00:00:00,2015-03-31 00:00:00,2015-04-30 00:00:00,2015-04-30 00:00:00,2015-05-29 00:00:00,2015-05-29 00:00:00,2015-06-30 00:00:00,2015-06-30 00:00:00,2015-07-31 00:00:00,2015-07-31 00:00:00,2015-08-31 00:00:00,2015-08-31 00:00:00,2015-09-30 00:00:00,2015-09-30 00:00:00,2015-10-30 00:00:00,2015-10-30 00:00:00,2015-11-30 00:00:00,2015-11-30 00:00:00,2015-12-31 00:00:00,2015-12-31 00:00:00,2016-01-29 00:00:00,2016-01-29 00:00:00,2016-02-29 00:00:00,2016-02-29 00:00:00,2016-03-31 00:00:00,2016-03-31 00:00:00,2016-04-29 00:00:00,2016-04-29 00:00:00,2016-05-31 00:00:00,2016-05-31 00:00:00,2016-06-30 00:00:00,2016-06-30 00:00:00,2016-07-29 00:00:00,2016-07-29 00:00:00,2016-08-31 00:00:00,2016-08-31 00:00:00,2016-09-30 00:00:00,2016-09-30 00:00:00,2016-10-31 00:00:00,2016-10-31 00:00:00,2016-11-30 00:00:00,2016-11-30 00:00:00,2016-12-30 00:00:00,2016-12-30 00:00:00
code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight,code,weight
000005.SZ,0.14,000005.SZ,0.13,000005.SZ,0.15,000005.SZ,0.14,000005.SZ,0.14,000005.SZ,0.15,000005.SZ,0.15,000005.SZ,0.14,000005.SZ,0.15,000005.SZ,0.17,000005.SZ,0.16,000005.SZ,0.17,000005.SZ,0.2,000006.SZ,0.21,000006.SZ,0.22,000006.SZ,0.25,000006.SZ,0.27,000006.SZ,0.25,000006.SZ,0.26,000006.SZ,0.26,000006.SZ,0.25,000006.SZ,0.25,000006.SZ,0.26,000006.SZ,0.27,000006.SZ,0.3,000006.SZ,0.31,000006.SZ,0.28,000006.SZ,0.25,000006.SZ,0.26,000006.SZ,0.25,000006.SZ,0.27,000006.SZ,0.24,000006.SZ,0.26,000006.SZ,0.24,000006.SZ,0.26,000006.SZ,0.3,000006.SZ,0.26,000006.SZ,0.22,000006.SZ,0.22,000006.SZ,0.28,000006.SZ,0.26,000006.SZ,0.24,000006.SZ,0.23,000006.SZ,0.23,000006.SZ,0.24,000006.SZ,0.23,000006.SZ,0.25,000006.SZ,0.26,000006.SZ,0.24,000006.SZ,0.21,000006.SZ,0.2,000006.SZ,0.22,000006.SZ,0.25,000006.SZ,0.28,000006.SZ,0.265,000006.SZ,0.263,000006.SZ,0.279,000006.SZ,0.266,000006.SZ,0.288,000006.SZ,0.26,000006.SZ,0.251,000006.SZ,0.227,000006.SZ,0.228,000006.SZ,0.224,000006.SZ,0.22,000006.SZ,0.206,000006.SZ,0.187,000006.SZ,0.186,000006.SZ,0.206,000006.SZ,0.237,000006.SZ,0.237,000006.SZ,0.237,000006.SZ,0.227
000006.SZ,0.22,000006.SZ,0.23,000006.SZ,0.21,000006.SZ,0.23,000006.SZ,0.23,000006.SZ,0.23,000006.SZ,0.24,000006.SZ,0.2,000006.SZ,0.2,000006.SZ,0.21,000006.SZ,0.21,000006.SZ,0.2,000006.SZ,0.2,000028.SZ,0.18,000028.SZ,0.18,000028.SZ,0.17,000028.SZ,0.18,000028.SZ,0.21,000028.SZ,0.27,000028.SZ,0.28,000028.SZ,0.32,000028.SZ,0.32,000028.SZ,0.32,000028.SZ,0.31,000028.SZ,0.33,000021.SZ,0.19,000021.SZ,0.18,000021.SZ,0.18,000021.SZ,0.17,000021.SZ,0.21,000021.SZ,0.2,000021.SZ,0.21,000021.SZ,0.22,000021.SZ,0.22,000021.SZ,0.18,000021.SZ,0.17,000021.SZ,0.17,000021.SZ,0.21,000021.SZ,0.19,000021.SZ,0.18,000021.SZ,0.17,000021.SZ,0.17,000021.SZ,0.18,000021.SZ,0.17,000021.SZ,0.18,000021.SZ,0.16,000021.SZ,0.16,000021.SZ,0.19,000012.SZ,0.42,000012.SZ,0.4,000012.SZ,0.38,000012.SZ,0.38,000012.SZ,0.46,000012.SZ,0.39,000012.SZ,0.361,000012.SZ,0.363,000012.SZ,0.374,000012.SZ,0.349,000012.SZ,0.334,000012.SZ,0.323,000012.SZ,0.324,000012.SZ,0.357,000012.SZ,0.332,000012.SZ,0.327,000012.SZ,0.348,000012.SZ,0.343,000008.SZ,0.242,000008.SZ,0.22,000008.SZ,0.2,000008.SZ,0.209,000008.SZ,0.207,000008.SZ,0.207,000012.SZ,0.264
000016.SZ,0.16,000016.SZ,0.15,000016.SZ,0.15,000016.SZ,0.15,000016.SZ,0.15,000016.SZ,0.16,000016.SZ,0.15,000016.SZ,0.13,000016.SZ,0.13,000016.SZ,0.14,000016.SZ,0.15,000016.SZ,0.14,000016.SZ,0.14,000029.SZ,0.06,000029.SZ,0.06,000029.SZ,0.06,000029.SZ,0.07,000029.SZ,0.07,000029.SZ,0.06,000029.SZ,0.06,000029.SZ,0.06,000029.SZ,0.06,000029.SZ,0.06,000029.SZ,0.07,000029.SZ,0.07,000028.SZ,0.31,000028.SZ,0.28,000028.SZ,0.31,000028.SZ,0.28,000028.SZ,0.25,000028.SZ,0.26,000028.SZ,0.28,000028.SZ,0.3,000028.SZ,0.32,000028.SZ,0.32,000028.SZ,0.3,000028.SZ,0.36,000028.SZ,0.4,000028.SZ,0.36,000028.SZ,0.3,000028.SZ,0.27,000028.SZ,0.26,000028.SZ,0.26,000028.SZ,0.29,000028.SZ,0.28,000028.SZ,0.27,000028.SZ,0.25,000028.SZ,0.22,000021.SZ,0.15,000021.SZ,0.17,000021.SZ,0.17,000021.SZ,0.18,000021.SZ,0.18,000021.SZ,0.17,000021.SZ,0.231,000021.SZ,0.208,000021.SZ,0.178,000021.SZ,0.175,000021.SZ,0.209,000021.SZ,0.269,000021.SZ,0.205,000021.SZ,0.188,000021.SZ,0.189,000021.SZ,0.194,000021.SZ,0.195,000021.SZ,0.186,000012.SZ,0.283,000012.SZ,0.265,000012.SZ,0.286,000012.SZ,0.27,000012.SZ,0.272,000012.SZ,0.272,000021.SZ,0.176
000028.SZ,0.24,000028.SZ,0.21,000028.SZ,0.19,000028.SZ,0.19,000028.SZ,0.2,000028.SZ,0.22,000028.SZ,0.19,000028.SZ,0.2,000028.SZ,0.2,000028.SZ,0.21,000028.SZ,0.21,000028.SZ,0.23,000028.SZ,0.21,000031.SZ,0.24,000031.SZ,0.26,000031.SZ,0.24,000031.SZ,0.26,000031.SZ,0.26,000031.SZ,0.27,000031.SZ,0.26,000031.SZ,0.24,000031.SZ,0.23,000031.SZ,0.24,000031.SZ,0.26,000031.SZ,0.26,000031.SZ,0.25,000031.SZ,0.25,000031.SZ,0.22,000031.SZ,0.22,000031.SZ,0.23,000031.SZ,0.22,000031.SZ,0.21,000031.SZ,0.22,000031.SZ,0.19,000031.SZ,0.19,000031.SZ,0.19,000030.SZ,0.08,000030.SZ,0.08,000030.SZ,0.1,000030.SZ,0.09,000030.SZ,0.09,000030.SZ,0.09,000030.SZ,0.13,000030.SZ,0.13,000030.SZ,0.12,000030.SZ,0.13,000030.SZ,0.12,000030.SZ,0.12,000028.SZ,0.21,000028.SZ,0.21,000028.SZ,0.2,000028.SZ,0.2,000028.SZ,0.21,000028.SZ,0.2,000028.SZ,0.189,000028.SZ,0.2,000028.SZ,0.222,000028.SZ,0.208,000028.SZ,0.211,000028.SZ,0.202,000028.SZ,0.188,000028.SZ,0.262,000028.SZ,0.268,000028.SZ,0.224,000028.SZ,0.253,000028.SZ,0.237,000021.SZ,0.218,000021.SZ,0.224,000021.SZ,0.207,000021.SZ,0.2,000021.SZ,0.197,000021.SZ,0.197,000025.SZ,0.076
000029.SZ,0.06,000029.SZ,0.06,000029.SZ,0.06,000029.SZ,0.07,000029.SZ,0.07,000029.SZ,0.07,000029.SZ,0.07,000029.SZ,0.07,000029.SZ,0.07,000029.SZ,0.07,000029.SZ,0.06,000029.SZ,0.06,000029.SZ,0.06,000042.SZ,0.09,000042.SZ,0.09,000042.SZ,0.1,000042.SZ,0.12,000042.SZ,0.12,000042.SZ,0.12,000042.SZ,0.11,000042.SZ,0.11,000042.SZ,0.11,000042.SZ,0.12,000042.SZ,0.14,000042.SZ,0.13,000042.SZ,0.12,000042.SZ,0.14,000042.SZ,0.13,000042.SZ,0.14,000042.SZ,0.15,000042.SZ,0.17,000042.SZ,0.15,000042.SZ,0.15,000042.SZ,0.14,000042.SZ,0.14,000042.SZ,0.13,000031.SZ,0.19,000031.SZ,0.17,000031.SZ,0.16,000031.SZ,0.17,000031.SZ,0.17,000031.SZ,0.16,000031.SZ,0.16,000031.SZ,0.23,000031.SZ,0.22,000031.SZ,0.21,000031.SZ,0.2,000031.SZ,0.22,000030.SZ,0.11,000030.SZ,0.11,000030.SZ,0.11,000030.SZ,0.11,000030.SZ,0.1,000030.SZ,0.1,000030.SZ,0.12,000030.SZ,0.137,000030.SZ,0.128,000030.SZ,0.117,000030.SZ,0.118,000030.SZ,0.115,000030.SZ,0.119,000030.SZ,0.111,000030.SZ,0.108,000030.SZ,0.109,000030.SZ,0.108,000030.SZ,0.108,000028.SZ,0.216,000028.SZ,0.235,000028.SZ,0.221,000028.SZ,0.23,000028.SZ,0.228,000028.SZ,0.228,000028.SZ,0.209
000040.SZ,0.1,000042.SZ,0.08,000042.SZ,0.07,000042.SZ,0.08,000042.SZ,0.08,000042.SZ,0.09,000042.SZ,0.09,000042.SZ,0.11,000042.SZ,0.12,000042.SZ,0.1,000042.SZ,0.1,000042.SZ,0.09,000042.SZ,0.09,000050.SZ,0.11,000050.SZ,0.15,000050.SZ,0.13,000050.SZ,0.13,000050.SZ,0.12,000050.SZ,0.12,000050.SZ,0.11,000050.SZ,0.16,000050.SZ,0.15,000050.SZ,0.16,000050.SZ,0.14,000050.SZ,0.15,000050.SZ,0.16,000050.SZ,0.18,000050.SZ,0.21,000050.SZ,0.22,000050.SZ,0.29,000050.SZ,0.23,000050.SZ,0.2,000050.SZ,0.22,000050.SZ,0.21,000050.SZ,0.21,000050.SZ,0.18,000042.SZ,0.13,000042.SZ,0.13,000042.SZ,0.11,000042.SZ,0.12,000042.SZ,0.12,000042.SZ,0.12,000049.SZ,0.26,000049.SZ,0.22,000049.SZ,0.22,000049.SZ,0.2,000049.SZ,0.19,000049.SZ,0.18,000031.SZ,0.28,000031.SZ,0.26,000031.SZ,0.26,000031.SZ,0.24,000031.SZ,0.25,000031.SZ,0.19,000031.SZ,0.353,000031.SZ,0.372,000031.SZ,0.468,000031.SZ,0.324,000031.SZ,0.34,000031.SZ,0.322,000031.SZ,0.294,000031.SZ,0.279,000031.SZ,0.315,000031.SZ,0.286,000031.SZ,0.266,000031.SZ,0.254,000030.SZ,0.097,000030.SZ,0.103,000030.SZ,0.111,000030.SZ,0.123,000030.SZ,0.119,000030.SZ,0.119,000031.SZ,0.246
000042.SZ,0.08,000050.SZ,0.19,000050.SZ,0.2,000050.SZ,0.17,000050.SZ,0.16,000050.SZ,0.17,000050.SZ,0.16,000050.SZ,0.15,000050.SZ,0.15,000050.SZ,0.16,000050.SZ,0.13,000050.SZ,0.13,000050.SZ,0.13,000066.SZ,0.22,000066.SZ,0.21,000066.SZ,0.2,000066.SZ,0.19,000066.SZ,0.18,000066.SZ,0.17,000066.SZ,0.16,000066.SZ,0.16,000066.SZ,0.17,000066.SZ,0.16,000066.SZ,0.15,000066.SZ,0.15,000066.SZ,0.14,000066.SZ,0.13,000066.SZ,0.13,000066.SZ,0.13,000066.SZ,0.13,000066.SZ,0.13,000066.SZ,0.13,000066.SZ,0.17,000066.SZ,0.16,000066.SZ,0.14,000066.SZ,0.14,000049.SZ,0.32,000049.SZ,0.29,000049.SZ,0.26,000049.SZ,0.24,000049.SZ,0.28,000049.SZ,0.28,000050.SZ,0.19,000050.SZ,0.24,000050.SZ,0.36,000050.SZ,0.36,000050.SZ,0.34,000050.SZ,0.31,000049.SZ,0.13,000049.SZ,0.15,000049.SZ,0.15,000049.SZ,0.13,000049.SZ,0.12,000049.SZ,0.15,000049.SZ,0.121,000049.SZ,0.136,000049.SZ,0.133,000049.SZ,0.141,000049.SZ,0.146,000049.SZ,0.171,000049.SZ,0.161,000049.SZ,0.145,000049.SZ,0.135,000049.SZ,0.135,000049.SZ,0.138,000049.SZ,0.143,000031.SZ,0.276,000031.SZ,0.281,000031.SZ,0.287,000031.SZ,0.267,000031.SZ,0.255,000031.SZ,0.255,000049.SZ,0.131
000050.SZ,0.22,000062.SZ,0.08,000062.SZ,0.09,000062.SZ,0.09,000062.SZ,0.08,000062.SZ,0.08,000062.SZ,0.09,000066.SZ,0.23,000066.SZ,0.22,000066.SZ,0.22,000066.SZ,0.23,000066.SZ,0.24,000066.SZ,0.23,000078.SZ,0.23,000078.SZ,0.23,000078.SZ,0.22,000078.SZ,0.22,000078.SZ,0.23,000078.SZ,0.23,000078.SZ,0.21,000078.SZ,0.22,000078.SZ,0.22,000078.SZ,0.22,000078.SZ,0.22,000078.SZ,0.2,000078.SZ,0.26,000078.SZ,0.25,000078.SZ,0.23,000078.SZ,0.24,000078.SZ,0.23,000078.SZ,0.21,000078.SZ,0.22,000078.SZ,0.2,000078.SZ,0.22,000078.SZ,0.22,000078.SZ,0.21,000050.SZ,0.18,000050.SZ,0.21,000050.SZ,0.19,000050.SZ,0.19,000050.SZ,0.21,000050.SZ,0.2,000066.SZ,0.15,000066.SZ,0.15,000066.SZ,0.2,000066.SZ,0.17,000066.SZ,0.19,000066.SZ,0.17,000050.SZ,0.23,000050.SZ,0.26,000050.SZ,0.24,000050.SZ,0.24,000050.SZ,0.21,000050.SZ,0.18,000062.SZ,0.236,000062.SZ,0.197,000062.SZ,0.191,000062.SZ,0.176,000062.SZ,0.234,000062.SZ,0.203,000050.SZ,0.277,000050.SZ,0.273,000050.SZ,0.267,000050.SZ,0.303,000050.SZ,0.3,000050.SZ,0.35,000049.SZ,0.139,000049.SZ,0.121,000049.SZ,0.123,000049.SZ,0.133,000049.SZ,0.138,000049.SZ,0.138,000050.SZ,0.268
000062.SZ,0.09,000066.SZ,0.27,000066.SZ,0.26,000066.SZ,0.28,000066.SZ,0.28,000066.SZ,0.27,000066.SZ,0.25,000078.SZ,0.25,000078.SZ,0.24,000078.SZ,0.24,000078.SZ,0.24,000078.SZ,0.26,000078.SZ,0.24,000088.SZ,0.2,000088.SZ,0.18,000088.SZ,0.2,000088.SZ,0.2,000088.SZ,0.2,000088.SZ,0.2,000088.SZ,0.23,000088.SZ,0.23,000088.SZ,0.21,000088.SZ,0.21,000088.SZ,0.22,000088.SZ,0.21,000088.SZ,0.22,000088.SZ,0.2,000088.SZ,0.2,000088.SZ,0.21,000088.SZ,0.17,000088.SZ,0.17,000088.SZ,0.15,000088.SZ,0.19,000088.SZ,0.19,000088.SZ,0.23,000088.SZ,0.26,000066.SZ,0.14,000066.SZ,0.15,000066.SZ,0.15,000066.SZ,0.14,000066.SZ,0.13,000066.SZ,0.16,000078.SZ,0.23,000078.SZ,0.24,000078.SZ,0.22,000078.SZ,0.24,000078.SZ,0.25,000078.SZ,0.23,000062.SZ,0.11,000062.SZ,0.12,000062.SZ,0.15,000062.SZ,0.14,000062.SZ,0.12,000062.SZ,0.19,000066.SZ,0.294,000066.SZ,0.338,000066.SZ,0.397,000066.SZ,0.427,000066.SZ,0.369,000066.SZ,0.353,000062.SZ,0.183,000062.SZ,0.163,000062.SZ,0.15,000062.SZ,0.174,000062.SZ,0.155,000062.SZ,0.163,000050.SZ,0.315,000050.SZ,0.287,000050.SZ,0.272,000050.SZ,0.274,000050.SZ,0.269,000050.SZ,0.269,000062.SZ,0.156
