code,start_date,end_date
000001.SZ,1991-04-03,2099-01-01
000002.SZ,1991-01-29,2099-01-01
000004.SZ,1991-01-14,2099-01-01
000005.SZ,1990-12-10,2099-01-01
000006.SZ,1992-04-27,2099-01-01
000007.SZ,1992-04-13,2099-01-01
000008.SZ,1992-05-07,2099-01-01
000009.SZ,1991-06-25,2099-01-01
000010.SZ,1995-10-27,2099-01-01
000011.SZ,1992-03-30,2099-01-01
000012.SZ,1992-02-28,2099-01-01
000014.SZ,1992-06-02,2099-01-01
000016.SZ,1992-03-27,2099-01-01
000017.SZ,1992-03-31,2099-01-01
000018.SZ,1992-06-16,2099-01-01
000019.SZ,1992-10-12,2099-01-01
000020.SZ,1992-04-28,2099-01-01
000021.SZ,1994-02-02,2099-01-01
000022.SZ,1993-05-05,2099-01-01
000023.SZ,1993-04-29,2099-01-01
000024.SZ,1993-06-07,2015-12-30
000025.SZ,1993-06-21,2099-01-01
000026.SZ,1993-06-03,2099-01-01
000027.SZ,1993-09-03,2099-01-01
000028.SZ,1993-08-09,2099-01-01
000029.SZ,1993-09-15,2099-01-01
000030.SZ,1993-09-29,2099-01-01
000031.SZ,1993-10-08,2099-01-01
000032.SZ,1993-10-28,2099-01-01
000033.SZ,1994-01-03,2099-01-01
000034.SZ,1994-05-09,2099-01-01
000035.SZ,1994-04-08,2099-01-01
000036.SZ,1994-06-17,2099-01-01
000037.SZ,1994-07-01,2099-01-01
000038.SZ,1994-08-08,2099-01-01
000039.SZ,1994-04-08,2099-01-01
000040.SZ,1994-08-08,2099-01-01
000042.SZ,1994-09-21,2099-01-01
000043.SZ,1994-09-28,2099-01-01
000045.SZ,1994-08-15,2099-01-01
000046.SZ,1994-09-12,2099-01-01
000048.SZ,1994-11-01,2099-01-01
000049.SZ,1995-03-20,2099-01-01
000050.SZ,1995-03-15,2099-01-01
000055.SZ,1996-04-15,2099-01-01
000056.SZ,1996-07-08,2099-01-01
000058.SZ,1996-12-26,2099-01-01
000059.SZ,1997-01-30,2099-01-01
000060.SZ,1997-01-23,2099-01-01
000061.SZ,1997-01-10,2099-01-01
000062.SZ,1997-01-30,2099-01-01
000063.SZ,1997-11-18,2099-01-01
000065.SZ,1998-06-05,2099-01-01
000066.SZ,1997-06-26,2099-01-01
000068.SZ,1997-06-11,2099-01-01
000069.SZ,1997-09-10,2099-01-01
000070.SZ,2000-05-11,2099-01-01
000078.SZ,1998-12-18,2099-01-01
000088.SZ,1997-07-28,2099-01-01
000089.SZ,1998-04-20,2099-01-01
000090.SZ,1999-07-21,2099-01-01
000096.SZ,2000-07-24,2099-01-01
000099.SZ,2000-07-31,2099-01-01
000100.SZ,2004-01-30,2099-01-01
000150.SZ,2000-08-07,2099-01-01
000151.SZ,2000-09-06,2099-01-01
000153.SZ,2000-09-20,2099-01-01
000155.SZ,2000-09-26,2099-01-01
000156.SZ,2000-09-06,2099-01-01
000157.SZ,2000-10-12,2099-01-01
000158.SZ,2000-07-24,2099-01-01
000159.SZ,2000-09-26,2099-01-01
000166.SZ,2015-01-26,2099-01-01
000301.SZ,2000-05-29,2099-01-01
000333.SZ,2013-09-18,2099-01-01
000338.SZ,2007-04-30,2099-01-01
000400.SZ,1997-04-18,2099-01-01
000401.SZ,1996-06-14,2099-01-01
000402.SZ,1996-06-26,2099-01-01
000403.SZ,1996-06-28,2099-01-01
000404.SZ,1996-06-19,2099-01-01
000407.SZ,1996-07-03,2099-01-01
000408.SZ,1996-06-28,2099-01-01
000409.SZ,1996-06-27,2099-01-01
000410.SZ,1996-07-18,2099-01-01
000411.SZ,1996-07-16,2099-01-01
000413.SZ,1996-09-25,2099-01-01
000415.SZ,1996-07-16,2099-01-01
000416.SZ,1996-07-19,2099-01-01
000417.SZ,1996-08-12,2099-01-01
000418.SZ,1997-03-28,2099-01-01
000419.SZ,1996-08-16,2099-01-01
000420.SZ,1996-08-02,2099-01-01
000421.SZ,1996-08-06,2099-01-01
000422.SZ,1996-08-15,2099-01-01
000423.SZ,1996-07-29,2099-01-01
000425.SZ,1996-08-28,2099-01-01
000426.SZ,1996-08-28,2099-01-01
000428.SZ,1996-08-08,2099-01-01
000429.SZ,1998-02-20,2099-01-01
000430.SZ,1996-08-29,2099-01-01
000488.SZ,2000-11-20,2099-01-01
000498.SZ,1997-06-09,2099-01-01
000501.SZ,1992-11-20,2099-01-01
000502.SZ,1992-11-23,2099-01-01
000503.SZ,1992-11-30,2099-01-01
000504.SZ,1992-12-08,2099-01-01
000505.SZ,1992-12-21,2099-01-01
000506.SZ,1993-03-12,2099-01-01
000507.SZ,1993-03-26,2099-01-01
000509.SZ,1993-05-07,2099-01-01
000510.SZ,1993-05-07,2099-01-01
000511.SZ,1993-05-18,2099-01-01
000513.SZ,1993-10-28,2099-01-01
000514.SZ,1993-07-12,2099-01-01
000516.SZ,1993-08-09,2099-01-01
000517.SZ,1993-08-06,2099-01-01
000518.SZ,1993-09-08,2099-01-01
000519.SZ,1993-10-08,2099-01-01
000520.SZ,1993-10-25,2099-01-01
000521.SZ,1993-10-18,2099-01-01
000522.SZ,1993-11-08,2013-04-26
000523.SZ,1993-11-08,2099-01-01
000524.SZ,1993-11-18,2099-01-01
000525.SZ,1993-10-28,2099-01-01
000526.SZ,1993-11-01,2099-01-01
000527.SZ,1993-11-12,2013-09-18
000528.SZ,1993-11-18,2099-01-01
000529.SZ,1993-11-18,2099-01-01
000530.SZ,1993-12-08,2099-01-01
000531.SZ,1994-01-06,2099-01-01
000532.SZ,1994-01-03,2099-01-01
000533.SZ,1994-01-03,2099-01-01
000534.SZ,1994-01-10,2099-01-01
000536.SZ,1993-11-26,2099-01-01
000537.SZ,1993-12-10,2099-01-01
000538.SZ,1993-12-15,2099-01-01
000539.SZ,1993-11-26,2099-01-01
000540.SZ,1994-02-02,2099-01-01
000541.SZ,1993-11-23,2099-01-01
000543.SZ,1993-12-20,2099-01-01
000544.SZ,1993-12-08,2099-01-01
000545.SZ,1993-12-15,2099-01-01
000546.SZ,1993-12-15,2099-01-01
000547.SZ,1993-11-30,2099-01-01
000548.SZ,1993-12-20,2099-01-01
000550.SZ,1993-12-01,2099-01-01
000551.SZ,1994-01-06,2099-01-01
000552.SZ,1994-01-06,2099-01-01
000553.SZ,1993-12-03,2099-01-01
000554.SZ,1993-12-15,2099-01-01
000555.SZ,1994-04-08,2099-01-01
000557.SZ,1994-06-17,2099-01-01
000558.SZ,1994-05-09,2099-01-01
000559.SZ,1994-01-10,2099-01-01
000560.SZ,1994-02-02,2099-01-01
